"Time";"IMSI";"Event type";"Release reason";"MoC establishment time avg (s)";"MtC establishment time avg (s)";"RTP UL pkts lost";"RTP UL MOS CQ avg";"RTP DL MOS CQ avg";"Conv time (s)"
2023-11-05 15:37:16.078;"1767235075";"MoC release";"(SIP);200;OK";;;11;3.9;4;1052.5
2023-11-05 15:37:16.078;"1767235075";"MoC setup";"(SIP);200;OK";2.4;0;;;;
2023-11-05 15:37:16.102;"1761459275";"MoC setup";"(SIP);487;Request Terminated";1.9;0;;;;
2023-11-05 15:37:16.128;"1765802057";"MoC setup";"(SIP);486;Busy Here";0;0;;;;
2023-11-05 15:37:16.168;"1765889951";"MoC setup";"(SIP);487;Request Terminated";7.4;0;;;;
2023-11-05 15:37:16.191;"1765852936";"MoC release";"(SIP);200;OK";;;0;4.2;4.1;43.1
2023-11-05 15:37:16.191;"1765852936";"MoC setup";"(SIP);200;OK";1.3;0;;;;
2023-11-05 15:37:16.196;"1763529578";"MoC setup";"(SIP);486;Busy Here";3.1;0;;;;
2023-11-05 15:37:16.243;"1763237234";"MoC release";"(SIP);200;OK";;;1;4;4.1;899.5
2023-11-05 15:37:16.243;"1763237234";"MoC setup";"(SIP);200;OK";3.5;0;;;;
2023-11-05 15:37:16.246;"1763719972";"MtC release";"(SIP);200;OK";;;0;4;3.9;105.9
2023-11-05 15:37:16.246;"1763719972";"MtC setup";"(SIP);200;OK";0;0.5;;;;
2023-11-05 15:37:16.255;"1763093064";"MoC release";"(SIP);200;OK";;;0;4.1;4;52.6
2023-11-05 15:37:16.255;"1763093064";"MoC setup";"(SIP);200;OK";1;0;;;;
2023-11-05 15:37:16.329;"1763543538";"MtC release";"(SIP);200;OK";;;2;4;4.1;52.6
2023-11-05 15:37:16.329;"1763543538";"MtC setup";"(SIP);200;OK";0;0.4;;;;
2023-11-05 15:37:16.368;"1763952558";"MoC setup";"(SIP);487;Request Terminated";0;0;;;;
